AfterCount,CommentsCount,GeneralCount,GoodCount,ID,PoorCount,link,name,price,shop_name
10,11000,10,8900,28759630314,8,//item.jd.com/28759630314.html,"
              【沃尔玛】德国进口 德牧牌全脂纯牛奶 早餐奶 200ML*27 新老包装随机发货      ",89.90,沃尔玛京东自营官方旗舰店
100,45000,90,41000,2149281,80,//item.jd.com/2149281.html,"
              爱尔兰原装进口 艾恩摩尔（AVONMORE）低脂牛奶1L*6 整箱装 3.6g/100ml乳蛋白      ",59.00,艾恩摩尔京东自营旗舰店
30,26000,20,22000,4438293,20,//item.jd.com/4438293.html,"
              欧盟有机认证 荷兰进口 乐荷（vecozuivel）全脂有机纯牛奶 200ml*24盒家庭装      ",199.00,乐荷京东自营旗舰店
100,100000,100,100000,3152976,90,//item.jd.com/3152976.html,"
              澳大利亚 澳牧（Australia’s Own) 儿童成长牛奶 高端全脂纯进口牛奶早餐奶 200mlx15      ",128.00,澳牧京东自营旗舰店
100,35000,100,31000,5776267,90,//item.jd.com/5776267.html,"
              法国原装进口  荷兰乳牛 全脂奶粉800克罐装      ",59.00,荷兰乳牛京东自营旗舰店
1400,370000,900,360000,2718511,600,//item.jd.com/2718511.html,"
              澳大利亚 进口牛奶 哈威鲜（Harvey fresh）牛奶 脱脂纯牛奶1L*12盒      ",105.00,哈威鲜京东自营旗舰店
400,140000,200,130000,2858180,100,//item.jd.com/2858180.html,"
              荷兰原装进口 荷高（Globemilk） 脱脂纯牛奶1L*6整箱装 3.7%乳蛋白      ",69.00,荷高（Globemilk）京东自营旗舰店
700,150000,600,150000,4188840,400,//item.jd.com/4188840.html,"
              法国原装进口荷兰乳牛全脂甜奶粉800克罐装      ",59.00,荷兰乳牛京东自营旗舰店
100,58000,50,50000,7428179,60,//item.jd.com/7428179.html,"
              澳大利亚 原装进口牛奶 澳伯顿 So Natural 全脂纯牛奶 1L*12/箱装  家庭装      ",119.00,澳伯顿京东自营旗舰店
3,6900,10,4700,8814665,10,//item.jd.com/8814665.html,"
              新西兰进口牛奶 纽麦福跑跑牛4.0g蛋白质全脂儿童奶 250ml*24盒 整箱装全脂儿童纯牛奶      ",119.00,纽麦福京东自营旗舰店
40,16000,20,11000,100000770480,10,//item.jd.com/100000770480.html,"
              尼平河 (NEPEAN RIVER DAIRY)澳大利亚进口全脂纯牛奶200ml*24盒 整箱装-国际版      ",54.90,尼平河（NEPEAN RIVER DAIRY）京东自营旗舰店
1000,500000,2300,460000,2816155,1800,//item.jd.com/2816155.html,"
              德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理脱脂牛奶200ml*24盒      ",69.00,欧德堡牛奶京东自营旗舰店
100,41000,200,39000,1178021,100,//item.jd.com/1178021.html,"
              荷兰乳牛 学生配方奶粉 400g袋装（新老包装随机发货）      ",29.90,荷兰乳牛京东自营旗舰店
90,23000,60,21000,1114213,60,//item.jd.com/1114213.html,"
              德国进口 甘蒂牧场（MUH）牧牌 脱脂纯牛奶1L*12盒 整箱 进口纯牛奶      ",129.00,甘蒂牧场京东自营旗舰店
400,130000,300,130000,2149286,100,//item.jd.com/2149286.html,"
              爱尔兰进口 艾恩摩尔（AVONMORE）全脂牛奶1L*6 整箱装      ",59.00,艾恩摩尔京东自营旗舰店
100,24000,70,23000,4390362,60,//item.jd.com/4390362.html,"
              新西兰进口牛奶 纽麦福3.5g蛋白质部分脱脂牛奶 250ML*24盒 整箱装纯牛奶      ",59.90,纽麦福京东自营旗舰店
40,32000,20,27000,8713012,20,//item.jd.com/8713012.html,"
              澳大利亚 澳牧儿童成长牛奶 高端全脂纯进口牛奶早餐奶 200ml*21盒      ",169.00,澳牧京东自营旗舰店
100,33000,90,25000,100000694616,80,//item.jd.com/100000694616.html,"
              兰雀Lacheer奥地利原装进口常温酸奶（原味）200g*24整箱装      ",69.00,兰雀牛奶京东自营旗舰店
1400,370000,900,360000,2118943,600,//item.jd.com/2118943.html,"
              澳大利亚 进口牛奶 哈威鲜(Harvey fresh)牛奶 全脂纯牛奶 1L*12盒      ",109.00,哈威鲜京东自营旗舰店
